Time,asks,bids,price
2020-05-05 18:00:00 UTC,19589867.8218399,19081913.2753125,8885.84867924528
2020-05-05 19:00:00 UTC,19722039.5040393,18224511.1503145,8911.815
2020-05-05 20:00:00 UTC,19776542.8686609,18061430.6850443,8944.33638655462
2020-05-05 21:00:00 UTC,20341692.5468278,17139416.1438676,8990.05445945946
2020-05-05 22:00:00 UTC,20642165.9169408,16861493.0662182,8966.09640350877
2020-05-05 23:00:00 UTC,20019226.7214951,16585665.2438159,8979.4426446281
2020-05-06 00:00:00 UTC,18363290.4059889,16704342.325217,8980.16427927928
2020-05-06 01:00:00 UTC,18420816.0905727,16746612.5174761,8975.06343971631
2020-05-06 02:00:00 UTC,18769710.4863091,16986780.9549356,8970.8885042735
2020-05-06 03:00:00 UTC,19016132.6669214,16727756.406478,9002.16494949495
2020-05-06 04:00:00 UTC,19288406.8883945,16429334.8019989,9027.86770833334
2020-05-06 05:00:00 UTC,19328749.9096384,16766413.8145974,9025.17567164179
2020-05-06 06:00:00 UTC,19597475.4314084,16752909.6337503,9038.02495726496
2020-05-06 07:00:00 UTC,19417476.0507339,16824784.4837765,9035.95447761194
2020-05-06 08:00:00 UTC,19505726.8786231,16565569.4341391,9064.45875
2020-05-06 09:00:00 UTC,19856576.5822398,17035515.297561,9076.46776422764
2020-05-06 10:00:00 UTC,21506132.5681383,16073441.4027433,9180.30908256881
2020-05-06 11:00:00 UTC,21477350.7116238,16169480.8904009,9254.59098360656
2020-05-06 12:00:00 UTC,21002351.1655782,16444855.6642223,9303.7577443609
2020-05-06 13:00:00 UTC,22717056.6851113,17027601.5661579,9240.53356382979
2020-05-06 14:00:00 UTC,23031938.0770663,17553566.3272499,9232.42057017544
2020-05-06 15:00:00 UTC,23493577.2090208,18340592.1294491,9269.56599206349
2020-05-06 16:00:00 UTC,23691198.4076237,18240011.1398319,9278.66717592592
2020-05-06 17:00:00 UTC,23602681.8229218,17929590.5094419,9262.96609523809
2020-05-06 18:00:00 UTC,23293656.5124009,17856568.509163,9245.25810810811
2020-05-06 19:00:00 UTC,23469862.9727113,17857682.0907653,9265.92868421053
2020-05-06 20:00:00 UTC,24033168.0810855,16672616.7587283,9248.86637755102
2020-05-06 21:00:00 UTC,25084319.37067,17338459.6703797,9284.21106481482
2020-05-06 22:00:00 UTC,24717159.8384314,19487170.6275335,9331.11461904762
2020-05-06 23:00:00 UTC,22988327.0545866,17495233.6086845,9301.7262735849
2020-05-07 00:00:00 UTC,22680902.2998566,15194541.9884727,9172.54683673469
2020-05-07 01:00:00 UTC,23857957.768954,15678885.6454105,9233.72126865672
2020-05-07 02:00:00 UTC,24231545.8789267,15784359.5479993,9283.85789473684
2020-05-07 03:00:00 UTC,25107954.5068637,16203683.2698652,9309.85429078014
2020-05-07 04:00:00 UTC,25654666.0930959,16463375.1372822,9300.80855072464
2020-05-07 05:00:00 UTC,26934159.2184446,16733775.3025178,9292.05364661654
2020-05-07 06:00:00 UTC,26870615.8521352,16822435.8246234,9289.04896000001
2020-05-07 07:00:00 UTC,27171399.6185051,16662603.6491271,9293.63904958678
2020-05-07 08:00:00 UTC,26992387.8152025,16760038.9307326,9308.95192307693
2020-05-07 09:00:00 UTC,26814431.8608346,17811160.617857,9309.80654205608
2020-05-07 10:00:00 UTC,26504189.0472594,18278862.6939515,9302.56822222222
2020-05-07 11:00:00 UTC,26100026.3238911,17974734.5582248,9290.36306722689
2020-05-07 12:00:00 UTC,26383196.644272,18246284.5735872,9316.13139097745
2020-05-07 13:00:00 UTC,24043062.7501151,16841904.2835917,9472.78723076923
2020-05-07 14:00:00 UTC,24934385.4437804,17620973.8026503,9519.27673469388
2020-05-07 15:00:00 UTC,26913384.8530827,17530275.4158223,9514.6946491228
2020-05-07 16:00:00 UTC,29190270.1570334,17200137.361774,9567.07923809523
2020-05-07 17:00:00 UTC,24416515.8502905,19237448.8795445,9777.23152380952
2020-05-07 18:00:00 UTC,25881193.4983772,17964101.7610851,9817.15276190476
2020-05-07 19:00:00 UTC,27626751.8362734,20301402.5234225,9874.00973684211
2020-05-07 20:00:00 UTC,26480566.9091697,20558517.0826156,9846.46262135923
2020-05-07 21:00:00 UTC,27326010.0264096,22676649.3913062,9831.09522988506
2020-05-07 22:00:00 UTC,29891380.3890529,21499865.4504727,9887.8562962963
2020-05-07 23:00:00 UTC,26021640.874894,21756903.9833545,9967.66455357143
2020-05-08 00:00:00 UTC,22439091.0473552,23369313.6337308,9982.37046728972
2020-05-08 01:00:00 UTC,23017292.0409273,23943172.8729111,9992.92428
2020-05-08 02:00:00 UTC,22434505.5382599,24100579.2899145,9945.14
2020-05-08 03:00:00 UTC,22243864.3145189,25254530.347382,9914.33711864407
2020-05-08 04:00:00 UTC,22576084.7439262,25531153.4699982,9918.25088461538
2020-05-08 05:00:00 UTC,23115495.8909333,25684628.9619978,9906.53903361344
2020-05-08 06:00:00 UTC,22507733.5477486,25563064.7612344,9823.04534782609
2020-05-08 07:00:00 UTC,23411707.9953375,21380152.8144002,9789.02130434783
2020-05-08 08:00:00 UTC,23947724.3343086,20708831.0515774,9857.5457079646
2020-05-08 09:00:00 UTC,24285669.9408199,21333904.9503429,9862.47045081967
2020-05-08 10:00:00 UTC,24185353.4821557,21399710.3648369,9904.425
2020-05-08 11:00:00 UTC,23255749.692878,21162483.9529972,9930.0131092437
2020-05-08 12:00:00 UTC,23063440.0862781,20989870.3239328,9874.575078125
2020-05-08 13:00:00 UTC,23262371.5768846,20984235.1141113,9879.71
